Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_TrueComponents_TC-13220724_2016_2020_202_2032,1,Battery_Cell,
"D1, D2, D3, D4, D5",LED_D3.0mm,5,LED,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,R,
"SW1, SW2",DIP-8_W7.62mm_LongPads,2,SW_DIP_x04,
SW3,Slide Switch True Components,1,SW_Wuerth_450301014042,
U1,DIP-16_W7.62mm_LongPads,1,CD74HC283E,
